name,institution,attemptsForA,timeForA,attemptsForB,timeForB,attemptsForC,timeForC,attemptsForD,timeForD,attemptsForE,timeForE,attemptsForF,timeForF,attemptsForG,timeForG,attemptsForH,timeForH,attemptsForI,timeForI,attemptsForJ,timeForJ,attemptsForK,timeForK,attemptsForL,timeForL
HSTU_ARRIVAL,HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,0,,0,,0,,0,,4,93,0,,1,63,2,287,0,,0,
HSTU_ChandraBindu,HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,0,,4,,0,,0,,11,173,0,,1,34,1,163,0,,0,
HSTU_GooDByE,HAJEE MOHAMMAD DANESH SCIENCE & TECHNOLOGY UNIVERSITY,0,,0,,0,,0,,0,,0,,4,,0,,0,,0,,0,,0,
HSTU_LSB,HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,0,,0,,0,,0,,2,65,0,,1,27,6,207,0,,0,
ICE_NEW_EPOCH,"IMPERIAL COLLEGE OF ENGINEERING, KHULNA",0,,0,,0,,0,,0,,0,,4,,0,,0,,2,,0,,0,
IIUC_DalVat,INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,0,,3,,0,,0,,0,,0,,5,149,0,,3,170,8,280,0,,0,
IIUC_KiEktaObostha,INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,0,,0,,0,,9,,0,,0,,2,42,0,,1,10,3,85,0,,0,
IIUC_MARK_US,INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,0,,0,,0,,3,,0,,0,,8,171,0,,1,27,3,267,0,,0,
IIUC_MangoCoders,INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,0,,0,,0,,3,,0,,0,,3,64,0,,1,37,1,244,0,,0,
IIUSTB_Al-khwarizm,INTERNATIONAL ISLAMI UNIVERSITY OF SCIENCE AND TECHNOLOGY BANGLADESH,0,,0,,0,,0,,0,,0,,5,224,0,,2,,2,,0,,0,
INN,NATIONAL INSTITUTE OF TEXTILE ENGINEERING AND RESEARCH,0,,0,,0,,0,,0,,0,,11,185,0,,4,107,3,,0,,0,
IOI1,INTERNATIONAL OLYMPIAD IN INFORMATICS,0,,0,,1,171,3,138,0,,0,,4,38,0,,2,27,1,88,0,,0,
IOI2,INTERNATIONAL OLYMPIAD IN INFORMATICS,0,,0,,0,,0,,0,,0,,3,83,0,,4,51,2,209,0,,0,
ISTT_SHADOWS,INSTITUTE OF SCIENCE TRADE AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,3,66,0,,1,57,0,,0,,0,
IST_CodeSqaud,INSTITUTE OF SCIENCE AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,6,223,0,,4,216,5,,0,,0,
IST_neverGiveUp,INSTITUTE OF SCIENCE AND TECHNOLOGY,0,,0,,0,,8,,0,,0,,3,57,0,,2,29,2,144,0,,0,
ISU_The_Infinite,INTERNATIONAL STANDARD UNIVERSITY,1,,0,,0,,0,,4,,0,,12,,0,,11,,8,,0,,1,
IUBAT_Iterators,INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE AND TECHNOLOGY,0,,0,,0,,1,,0,,0,,3,47,0,,1,39,1,219,0,,0,
IUBAT_LivingThings,INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE AND TECHNOLOGY,0,,0,,0,,1,,0,,0,,3,49,0,,1,27,1,120,0,,0,
IUBAT_Wrong_Answer,INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,2,,0,,1,,0,,0,,0,
IUB_IlVentoD'oro,INDEPENDENT UNIVERSITY - BANGLADESH,0,,0,,0,,0,,0,,0,,3,145,0,,6,204,0,,0,,0,
IUB_NerdHerd,INDEPENDENT UNIVERSITY - BANGLADESH,0,,0,,0,,0,,0,,0,,2,102,0,,3,130,3,,0,,0,
IUS_Algo_Blanco's,INTERNATIONAL UNIVERSITY OF SCHOLARS,0,,0,,0,,0,,0,,0,,6,,0,,0,,0,,0,,0,
IUT_ChronicOverthinkers,ISLAMIC UNIVERSITY OF TECHNOLOGY,0,,0,,0,,4,,0,,0,,4,87,0,,1,26,1,159,0,,0,
